deportation	von	nach	nach_fct	deportation_alt	dep_datum	dep_date	deportation_date_exact	deportation_my	deportation_month	deportation_year
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.01.1943 nach Auschwitz	29.01.1943	29.01.1943	1943-01-29	1943-01-29	Jan	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.01.1943 nach Auschwitz	29.01.1943	29.01.1943	1943-01-29	1943-01-29	Jan	1943
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
von Heibronner Str.21 nach Riga	Heibronner Str.21 	Riga	Riga	am 25.01.1942 von Heibronner Str.21 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
von Anhalter Bahnhof nach Theresienstadt	Anhalter Bahnhof 	Theresienstadt	Theresienstadt	am 11.06.1942 von Anhalter Bahnhof nach Theresienstadt	11.06.1942	11.06.1942	1942-06-11	1942-06-11	Jun	1942
von Anhalter Bahnhof nach Theresienstadt	Anhalter Bahnhof 	Theresienstadt	Theresienstadt	am 11.06.1942 von Anhalter Bahnhof nach Theresienstadt	11.06.1942	11.06.1942	1942-06-11	1942-06-11	Jun	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
von Brüssel nach Auschwitz	Brüssel 	Auschwitz	Auschwitz	von Brüssel nach Auschwitz	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 31.07.1943 nach Auschwitz	31.07.1943	31.07.1943	1943-07-31	1943-07-31	Jul	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 31.07.1943 nach Auschwitz	31.07.1943	31.07.1943	1943-07-31	1943-07-31	Jul	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.04.1943 nach Auschwitz	06.04.1943	06.04.1943	1943-04-06	1943-04-06	Apr	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 18.03.1943 nach Auschwitz	18.03.1943	18.03.1943	1943-03-18	1943-03-18	Mar	1943
von Grunewald nach Łódź / Litzmannstadt	Grunewald 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 von Grunewald nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
von Grunewald nach Łódź / Litzmannstadt	Grunewald 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 von Grunewald nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.09.1942 nach Theresienstadt	21.09.1942	21.09.1942	1942-09-21	1942-09-21	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.03.1943 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Zbąszyń / Bentschen	NA	Zbąszyń / Bentschen	Zbąszyń / Bentschen	am 29.10.1938 nach Zbąszyń / Bentschen	29.10.1938	29.10.1938	1938-10-29	1938-10-29	Oct	1938
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.07.1942 nach Theresienstadt	16.07.1942	16.07.1942	1942-07-16	1942-07-16	Jul	1942
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	im März 1943 nach Auschwitz	März 1943	Mar 1943	NA	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 23.03.1943 nach Auschwitz	23.03.1943	23.03.1943	1943-03-23	1943-03-23	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 23.03.1943 nach Auschwitz	23.03.1943	23.03.1943	1943-03-23	1943-03-23	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	im März 1943 nach Auschwitz	März 1943	Mar 1943	NA	1943-03-01	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 29.06.1943 nach Theresienstadt	29.06.1943	29.06.1943	1943-06-29	1943-06-29	Jun	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	im Jahre 1943 nach Auschwitz	1943	1943	NA	NA	NA	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.05.1944 nach Auschwitz	03.05.1944	03.05.1944	1944-05-03	1944-05-03	May	1944
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.05.1944 nach Auschwitz	03.05.1944	03.05.1944	1944-05-03	1944-05-03	May	1944
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.08.1942 nach Theresienstadt	03.08.1942	03.08.1942	1942-08-03	1942-08-03	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
von Berlin nach Theresienstadt	Berlin 	Theresienstadt	Theresienstadt	am 14.09.1942 von Berlin nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
von Bentschen / Zbąszyń nach Treblinka	Bentschen / Zbąszyń 	Treblinka	Treblinka	von Bentschen / Zbąszyń nach Treblinka	NA	NA	NA	NA	NA	NA
von Bentschen / Zbąszyń nach Treblinka	Bentschen / Zbąszyń 	Treblinka	Treblinka	von Bentschen / Zbąszyń nach Treblinka	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 11.07.1942 nach Auschwitz	11.07.1942	11.07.1942	1942-07-11	1942-07-11	Jul	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 09.07.1942 nach Theresienstadt	09.07.1942	09.07.1942	1942-07-09	1942-07-09	Jul	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.07.1942 nach Theresienstadt	21.07.1942	21.07.1942	1942-07-21	1942-07-21	Jul	1942
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
von Sachsenhausen nach Bergen-Belsen	Sachsenhausen 	Bergen-Belsen	Bergen-Belsen	von Sachsenhausen nach Bergen-Belsen	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 04.08.1942 nach Theresienstadt	04.08.1942	04.08.1942	1942-08-04	1942-08-04	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 04.08.1942 nach Theresienstadt	04.08.1942	04.08.1942	1942-08-04	1942-08-04	Aug	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Warschau	NA	Warschau	Warschau	am 02.04.1942 nach Warschau	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
nach Warschau	NA	Warschau	Warschau	am 02.04.1942 nach Warschau	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Dachau	NA	Dachau	Dachau	am 11.12.1937 nach Dachau	11.12.1937	11.12.1937	1937-12-11	1937-12-11	Dec	1937
nach Minsk	NA	Minsk	Minsk	am 26.06.1942 nach Minsk	26.06.1942	26.06.1942	1942-06-26	1942-06-26	Jun	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 17.05.1943 nach Auschwitz	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
von Städtische Anstalt für Epileptiker Wuhlgarten nach Bernburg	Städtische Anstalt für Epileptiker Wuhlgarten 	Bernburg	Bernburg/Saale	am 14.05.1941 von Städtische Anstalt für Epileptiker Wuhlgarten nach Bernburg	14.05.1941	14.05.1941	1941-05-14	1941-05-14	May	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 23.07.1942 nach Theresienstadt	23.07.1942	23.07.1942	1942-07-23	1942-07-23	Jul	1942
von Berlin nach Riga, Lettland	Berlin 	Riga, Lettland	Riga	am 19.10.1942 von Berlin nach Riga, Lettland	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
von Berlin nach Riga, Lettland	Berlin 	Riga, Lettland	Riga	am 19.10.1942 von Berlin nach Riga, Lettland	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
von Berlin nach Riga, Lettland	Berlin 	Riga, Lettland	Riga	am 19.10.1942 von Berlin nach Riga, Lettland	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 29.10.1941 nach Łódź / Litzmannstadt	29.10.1941	29.10.1941	1941-10-29	1941-10-29	Oct	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
von Motzstraße 87 nach Riga	Motzstraße 87 	Riga	Riga	am 27.11.1941 von Motzstraße 87 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 19.11.1942 nach Theresienstadt	19.11.1942	19.11.1942	1942-11-19	1942-11-19	Nov	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Mechelen (Malines) nach Auschwitz	Mechelen (Malines) 	Auschwitz	Auschwitz	am 05.01.1943 von Mechelen (Malines) nach Auschwitz	05.01.1943	05.01.1943	1943-01-05	1943-01-05	Jan	1943
von Mechelen (Malines)	Mechelen (Malines)	NA	NA	am 15.01.1943 von Mechelen (Malines)	15.01.1943	15.01.1943	1943-01-15	1943-01-15	Jan	1943
von Mechelen (Malines) / Belgien nach Auschwitz	Mechelen (Malines) / Belgien 	Auschwitz	Auschwitz	am 15.01.1943 von Mechelen (Malines) / Belgien nach Auschwitz	15.01.1943	15.01.1943	1943-01-15	1943-01-15	Jan	1943
nach Riga	NA	Riga	Riga	am 19.10.1942 nach Riga	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
nach Sachsenhausen	NA	Sachsenhausen	Sachsenhausen	am 28.05.1942 nach Sachsenhausen	28.05.1942	28.05.1942	1942-05-28	1942-05-28	May	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
von Berlin - Plötzensee nach Auschwitz	Berlin - Plötzensee 	Auschwitz	Auschwitz	am 29.11.1942 von Berlin - Plötzensee nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 12.08.1942 nach Theresienstadt	12.08.1942	12.08.1942	1942-08-12	1942-08-12	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.03.1943 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.10.1944 nach Auschwitz	12.10.1944	12.10.1944	1944-10-12	1944-10-12	Oct	1944
von Berlin nach Łódź / Litzmannstadt	Berlin 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 29.10.1941 von Berlin nach Łódź / Litzmannstadt	29.10.1941	29.10.1941	1941-10-29	1941-10-29	Oct	1941
nach Kowno / Kaunas	NA	Kowno / Kaunas	Kowno / Kaunas	am 17.11.1941 nach Kowno / Kaunas	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Kowno / Kaunas	NA	Kowno / Kaunas	Kowno / Kaunas	am 17.11.1941 nach Kowno / Kaunas	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Kowno / Kaunas	NA	Kowno / Kaunas	Kowno / Kaunas	am 17.11.1941 nach Kowno / Kaunas	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	im März 1943 nach Auschwitz	März 1943	Mar 1943	NA	1943-03-01	Mar	1943
von Judenhaus Elberfelder Straße 25 nach Riga	Judenhaus Elberfelder Straße 25 	Riga	Riga	am 19.10.1942 von Judenhaus Elberfelder Straße 25 nach Riga	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
von Judenhaus Elberfelder Straße 25 nach Riga	Judenhaus Elberfelder Straße 25 	Riga	Riga	am 19.10.1942 von Judenhaus Elberfelder Straße 25 nach Riga	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 26.01.1943 nach Theresienstadt	26.01.1943	26.01.1943	1943-01-26	1943-01-26	Jan	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 26.01.1943 nach Theresienstadt	26.01.1943	26.01.1943	1943-01-26	1943-01-26	Jan	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 15.07.1942 nach Theresienstadt	15.07.1942	15.07.1942	1942-07-15	1942-07-15	Jul	1942
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt Getto	NA	Theresienstadt Getto	Theresienstadt	am 08.09.1942 nach Theresienstadt Getto	08.09.1942	08.09.1942	1942-09-08	1942-09-08	Sep	1942
nach Theresienstadt Getto	NA	Theresienstadt Getto	Theresienstadt	am 08.09.1942 nach Theresienstadt Getto	08.09.1942	08.09.1942	1942-09-08	1942-09-08	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 05.11.1942 nach Theresienstadt	05.11.1942	05.11.1942	1942-11-05	1942-11-05	Nov	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 05.11.1942 nach Theresienstadt	05.11.1942	05.11.1942	1942-11-05	1942-11-05	Nov	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 15.07.1942 nach Theresienstadt	15.07.1942	15.07.1942	1942-07-15	1942-07-15	Jul	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
