schicksal,destiny_type,destiny_type_fac,destiny_when,destiny_when_date,destiny_when_year,destiny_location,destiny_loc_cat,destiny_loc_fac
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 30.10.1942 in Theresienstadt,ERMORDET,murdered,30.10.1942,1942-10-30,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 19.12.1942 in Theresienstadt,ERMORDET,murdered,19.12.1942,1942-12-19,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 01.12.1943 in Auschwitz,ERMORDET,murdered,01.12.1943,1943-12-01,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 02.08.1943 in Auschwitz,ERMORDET,murdered,02.08.1943,1943-08-02,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 02.08.1943 in Auschwitz,ERMORDET,murdered,02.08.1943,1943-08-02,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 19.12.1941 in Łódź / Litzmannstadt,ERMORDET,murdered,19.12.1941,1941-12-19,1941,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
ERMORDET 08.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,08.05.1942,1942-05-08,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 07.08.1942 in Buchenwald,ERMORDET,murdered,07.08.1942,1942-08-07,1942,Buchenwald,Buchenwald,Other
ERMORDET 24.02.1944 in Theresienstadt,ERMORDET,murdered,24.02.1944,1944-02-24,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 09.11.1944 in Cholm,ERMORDET,murdered,09.11.1944,1944-11-09,1944,Cholm,Cholm,Other
FLUCHT IN DEN TOD 14.05.1938 in Berlin-Britz,FLUCHT IN DEN TOD,deceased,14.05.1938,1938-05-14,1938,Berlin-Britz,Berlin,Berlin
ERMORDET 16.09.1939 in Dynów / Dünhof,ERMORDET,murdered,16.09.1939,1939-09-16,1939,Dynów / Dünhof,Dynów / Dünhof,Other
ERMORDET 09.08.1942 in Theresienstadt,ERMORDET,murdered,09.08.1942,1942-08-09,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET 06.07.1943 in Auschwitz,ERMORDET,murdered,06.07.1943,1943-07-06,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 24.05.1943 in Auschwitz,ERMORDET,murdered,24.05.1943,1943-05-24,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 13.09.1943 in Auschwitz,ERMORDET,murdered,13.09.1943,1943-09-13,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 20.08.1943 in Auschwitz,ERMORDET,murdered,20.08.1943,1943-08-20,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 12.03.1944 in Auschwitz,ERMORDET,murdered,12.03.1944,1944-03-12,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"ERMORDET IM RAHMEN DES """"EUTHANASIE""""-PROGRAMMS 10.07.1940 in der Tötungsanstalt Brandenburg","ERMORDET IM RAHMEN DES """"EUTHANASIE""""-PROGRAMMS",murdered,10.07.1940,1940-07-10,1940,Tötungsanstalt Brandenburg,Brandenburg,Other
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET 07.01.1943 in Theresienstadt,ERMORDET,murdered,07.01.1943,1943-01-07,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 1943 in Auschwitz,ERMORDET,murdered,1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 22.02.1943 in Theresienstadt,ERMORDET,murdered,22.02.1943,1943-02-22,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 10.12.1943 in Meseritz-Obrawalde,ERMORDET,murdered,10.12.1943,1943-12-10,1943,Meseritz-Obrawalde,Meseritz-Obrawalde,Other
ERMORDET 26.07.1942 in Theresienstadt,ERMORDET,murdered,26.07.1942,1942-07-26,1942,Theresienstadt,Theresienstadt,Theresienstadt
TOT 18.02.1943 im Ghetto Theresienstadt,TOT,deceased,18.02.1943,1943-02-18,1943,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 01.03.1945 in Bergen-Belsen,ERMORDET,murdered,01.03.1945,1945-03-01,1945,Bergen-Belsen,Bergen-Belsen,Other
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 05.09.1942 in Theresienstaadt,ERMORDET,murdered,05.09.1942,1942-09-05,1942,Theresienstaadt,Theresienstadt,Theresienstadt
FLUCHT IN DEN TOD 03.08.1942 in Berlin,FLUCHT IN DEN TOD,deceased,03.08.1942,1942-08-03,1942,Berlin,Berlin,Berlin
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"TOT 01.05.1942 im """"Arbeitserziehungslager"""" Wuhlheide",TOT,deceased,01.05.1942,1942-05-01,1942,"""""Arbeitserziehungslager"""" Wuhlheide",Wuhlheide,Other
ERMORDET im Ghetto Warschau,ERMORDET,murdered,NA,NA,NA,Ghetto Warschau,Warschau,Other
ERMORDET im Ghetto Warschau,ERMORDET,murdered,NA,NA,NA,Ghetto Warschau,Warschau,Other
TOT,TOT,deceased,NA,NA,NA,NA,NA,Unknown
TOT,TOT,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET 29.04.1941 in Dachau,ERMORDET,murdered,29.04.1941,1941-04-29,1941,Dachau,Dachau,Other
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 10.07.1944 in Meseritz-Obrawalde,ERMORDET,murdered,10.07.1944,1944-07-10,1944,Meseritz-Obrawalde,Meseritz-Obrawalde,Other
ERMORDET 25.03.1943 in Theresienstadt,ERMORDET,murdered,25.03.1943,1943-03-25,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 14.05.1941 in Bernburg,ERMORDET,murdered,14.05.1941,1941-05-14,1941,Bernburg,Bernburg,Other
ERMORDET 05.06.1943 in Auschwitz,ERMORDET,murdered,05.06.1943,1943-06-05,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 19.11.1942 in Berlin,FLUCHT IN DEN TOD,deceased,19.11.1942,1942-11-19,1942,Berlin,Berlin,Berlin
TOT 23.01.1944 im Ghetto Theresienstadt,TOT,deceased,23.01.1944,1944-01-23,1944,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
"ERMORDET 22.10.1942 in Riga, Lettland",ERMORDET,murdered,22.10.1942,1942-10-22,1942,"Riga, Lettland",Riga,Riga
"ERMORDET 22.10.1942 in Riga, Lettland",ERMORDET,murdered,22.10.1942,1942-10-22,1942,"Riga, Lettland",Riga,Riga
"ERMORDET in Riga, Lettland",ERMORDET,murdered,NA,NA,NA,"Riga, Lettland",Riga,Riga
ERMORDET in Chełmno / Kulmhof,ERMORDET,murdered,NA,NA,NA,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 22.10.1943 in Theresienstadt,ERMORDET,murdered,22.10.1943,1943-10-22,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 14.12.1942 in Auscwitz,ERMORDET,murdered,14.12.1942,1942-12-14,1942,Auscwitz,Auschwitz,Auschwitz
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 23.10.1943 in Auschwitz,ERMORDET,murdered,23.10.1943,1943-10-23,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 19.10.1944 in Theresienstadt,ERMORDET,murdered,19.10.1944,1944-10-19,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 29.04.1943 in Auschwitz,ERMORDET,murdered,29.04.1943,1943-04-29,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 09.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,09.05.1942,1942-05-09,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 30.11.1941 in Riga-Rumbula,ERMORDET,murdered,30.11.1941,1941-11-30,1941,Riga-Rumbula,Riga,Riga
TOT in Auschwitz,TOT,deceased,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 1942,TOT,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET 18.08.1942 in der Wuhlheide,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Wuhlheide,Wuhlheide,Other
FüR TOT ERKLäRT 08.05.1945 in Auschwitz,FüR TOT ERKLäRT,deceased,08.05.1945,1945-05-08,1945,Auschwitz,Auschwitz,Auschwitz
FüR TOT ERKLäRT 08.05.1945 in Auschwitz,FüR TOT ERKLäRT,deceased,08.05.1945,1945-05-08,1945,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 22.10.1942 in Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga,Riga,Riga
ERSCHOSSEN ALS GEISEL 28.05.1942 in Sachsenhausen,ERSCHOSSEN ALS GEISEL,murdered,28.05.1942,1942-05-28,1942,Sachsenhausen,Sachsenhausen,Sachsenhausen
ERMORDET 30.01.1943 in Theresienstadt,ERMORDET,murdered,30.01.1943,1943-01-30,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 02.04.1943 in Theresienstadt,ERMORDET,murdered,02.04.1943,1943-04-02,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 19.01.1943 in Auschwitz,ERMORDET,murdered,19.01.1943,1943-01-19,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"ERMORDET IM RAHMEN DES """"EUTHANASIE""""-PROGRAMMS 10.07.1940 in Tötungsanstalt Brandenburg/Havel","ERMORDET IM RAHMEN DES """"EUTHANASIE""""-PROGRAMMS",murdered,10.07.1940,1940-07-10,1940,Tötungsanstalt Brandenburg/Havel,Brandenburg,Other
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 14.09.1942 in Theresienstadt,ERMORDET,murdered,14.09.1942,1942-09-14,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
VERSCHOLLEN in Auschwitz,VERSCHOLLEN,unknown,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
VERSCHOLLEN in Auschwitz,VERSCHOLLEN,unknown,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 1942 in Chełmno / Kulmhof,ERMORDET,murdered,1942,NA,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 25.11.1941 in Kowno / Kaunas,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno / Kaunas,Kowno,Other
ERMORDET in Kowno / Kaunas,ERMORDET,murdered,NA,NA,NA,Kowno / Kaunas,Kowno,Other
ERMORDET 25.11.1941 in Kowno / Kaunas,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno / Kaunas,Kowno,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 22.10.1942 in Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga,Riga,Riga
ERMORDET 22.10.1942 in Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 08.08.1944 im Ghetto Theresienstadt,ERMORDET,murdered,08.08.1944,1944-08-08,1944,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
AN HAFTFOLGEN GESTORBEN 11.10.1945 in Berlin,AN HAFTFOLGEN GESTORBEN,deceased,11.10.1945,1945-10-11,1945,Berlin,Berlin,Berlin
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
TOT in Riga,TOT,deceased,NA,NA,NA,Riga,Riga,Riga
ERMORDET 05.01.1945 im KZ Dachau,ERMORDET,murdered,05.01.1945,1945-01-05,1945,KZ Dachau,Dachau,Other
ERMORDET 27.08.1944 in Theresienstadt,ERMORDET,murdered,27.08.1944,1944-08-27,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 23.10.1942 in Theresienstadt,ERMORDET,murdered,23.10.1942,1942-10-23,1942,Theresienstadt,Theresienstadt,Theresienstadt
FLUCHT IN DEN TOD 27.10.1942 in Berlin,FLUCHT IN DEN TOD,deceased,27.10.1942,1942-10-27,1942,Berlin,Berlin,Berlin
FLUCHT IN DEN TOD 27.10.1942 in Berlin,FLUCHT IN DEN TOD,deceased,27.10.1942,1942-10-27,1942,Berlin,Berlin,Berlin
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET Dezember 1942 in Theresienstadt,ERMORDET,murdered,Dezember 1942,NA,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 29.12.1942 in Łódź / Litzmannstadt,ERMORDET,murdered,29.12.1942,1942-12-29,1942,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
ERMORDET 19.06.1942 in Łódź / Litzmannstadt,ERMORDET,murdered,19.06.1942,1942-06-19,1942,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET im Ghetto Riga,ERMORDET,murdered,NA,NA,NA,Ghetto Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET 06.03.1943 in Theresienstadt,ERMORDET,murdered,06.03.1943,1943-03-06,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Theresienstadt,ERMORDET,murdered,NA,NA,NA,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 28.08.1942 in Theresienstadt,ERMORDET,murdered,28.08.1942,1942-08-28,1942,Theresienstadt,Theresienstadt,Theresienstadt
TOT 29.12.1942 in Theresienstadt,TOT,deceased,29.12.1942,1942-12-29,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 03.11.1942 in Theresienstadt,TOT,deceased,03.11.1942,1942-11-03,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 28.04.1944 in Theresienstadt,TOT,deceased,28.04.1944,1944-04-28,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 19.11.1941 im Ghetto Litzmannstadt / Łódź,ERMORDET,murdered,19.11.1941,1941-11-19,1941,Ghetto Litzmannstadt / Łódź,Litzmannstadt,Litzmannstadt
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET 03.12.1942 in Auschwitz,ERMORDET,murdered,03.12.1942,1942-12-03,1942,Auschwitz,Auschwitz,Auschwitz
ERMORDET 19.12.1942 in Theresienstadt,ERMORDET,murdered,19.12.1942,1942-12-19,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Sobibor,ERMORDET,murdered,NA,NA,NA,Sobibor,Sobibor,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 26.10.1944 im Ghetto Theresienstadt,ERMORDET,murdered,26.10.1944,1944-10-26,1944,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET 04.09.1942 in Łódź / Litzmannstadt,ERMORDET,murdered,04.09.1942,1942-09-04,1942,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
TOT 12.09.1939 in Berlin,TOT,deceased,12.09.1939,1939-09-12,1939,Berlin,Berlin,Berlin
FLUCHT IN DEN TOD 20.09.1938,FLUCHT IN DEN TOD,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 17.05.1943 im Ghetto Theresienstadt,TOT,deceased,17.05.1943,1943-05-17,1943,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 22.10.1942 im Ghetto Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Ghetto Riga,Riga,Riga
ERMORDET 22.10.1942 im Ghetto Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Ghetto Riga,Riga,Riga
ERMORDET im Ghetto Riga,ERMORDET,murdered,NA,NA,NA,Ghetto Riga,Riga,Riga
ERMORDET im Ghetto Riga,ERMORDET,murdered,NA,NA,NA,Ghetto Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 02.03.1943,FLUCHT IN DEN TOD,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET Juni 1942 in Sobibor,ERMORDET,murdered,Juni 1942,NA,1942,Sobibor,Sobibor,Other
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET 10.09.1942 in Chełmno / Kulmhof,ERMORDET,murdered,10.09.1942,1942-09-10,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 16.03.1944 in Theresienstadt,ERMORDET,murdered,16.03.1944,1944-03-16,1944,Theresienstadt,Theresienstadt,Theresienstadt
